Sample_Name, Construct_Name
A1 B1, pRPS3-mCherry-tRPS3_WT
A2 B2 E1 E2, pRPS3-mCherry-tRPS3_mod0
A3 B3, pRPS3-mCherry-tRPS3_modB
A4 B4, pRPS3-mCherry-tRPS3_modE
A5 B5, pTSA1-mCherry-tTSA1_WT
A6 B6, pTSA1-mCherry-tTSA1_mod0
A7 B7, pTSA1-mCherry-tTSA1_modB
A8 B8, pTSA1-mCherry-tTSA1_modE
A9 B9, POT1-ccdB
A10 B10, pRPS3-mCherry-tRPS3_modA
A11 B11, pTSA1-mCherry-tTSA1_modA
A12 B12, pPGK1-mCherry-tRPS3_WT
A13 B13, pPGK1-mCherry-tRPS3_mod0
A14 B14, pPGK1-mCherry-tRPS3_modA
A15 B15, pPGK1-mCherry-tRPS3_modB
A16 B16, pPGK1-mCherry-tRPS3_modE
