promoter,terminator,label,site,max_rel_counts,p.adj
pPGK1,tRPS3,WT,1,0.0013042217503270697,0.015625
pPGK1,tRPS3,mod_HTH,1,0.10074538625153487,0.421875
pPGK1,tRPS3,mod_NTN,1,0.10528309306830172,0.015625
pPGK1,tRPS3,mod_NAA,1,0.12488663430310745,0.64453125
pRPS3,tRPS3,WT,1,0.001326672800087248,0.015625
pRPS3,tRPS3,mod_HTH,1,0.11613781437615922,0.52734375
pRPS3,tRPS3,mod_NTN,1,0.0819971027133449,0.03515625
pRPS3,tRPS3,mod_NAA,1,0.1769532775285806,0.966796875
pTSA1,tTSA1,WT,1,0.17154835427323228,0.068359375
pTSA1,tTSA1,mod_HTH,1,0.1610745038754239,0.02734375
pTSA1,tTSA1,mod_NTN,1,0.1389565942258697,0.015625
pTSA1,tTSA1,mod_NAA,1,0.15033641793263725,0.02734375
pPGK1,tRPS3,WT,2,0.17080595939413376,0.64453125
pPGK1,tRPS3,mod_HTH,2,0.31723751005445716,0.015625
pPGK1,tRPS3,mod_NTN,2,0.39451152026326713,0.015625
pPGK1,tRPS3,mod_NAA,2,0.22232650556826117,0.421875
pRPS3,tRPS3,WT,2,0.16972650133682443,0.966796875
pRPS3,tRPS3,mod_HTH,2,0.32815685779354253,0.52734375
pRPS3,tRPS3,mod_NTN,2,0.3940146594159819,0.015625
pRPS3,tRPS3,mod_NAA,2,0.20624294546628635,0.966796875
pTSA1,tTSA1,WT,2,0.4000554926965718,1
pTSA1,tTSA1,mod_HTH,2,0.3198938653094119,0.697265625
pTSA1,tTSA1,mod_NTN,2,0.35193981660854967,1
pTSA1,tTSA1,mod_NAA,2,0.3671092881316194,0.640625
